date,count
2015-01-09,1947
2015-08-28,1944
2014-11-30,1939
2012-09-08,1939
2014-07-08,1933
2014-10-26,1931
2014-11-29,1919
2014-11-09,1895
2014-12-07,1893
2014-12-26,1889
2014-01-07,1889
2015-01-10,1880
2014-11-28,1878
2015-07-04,1875
2014-06-26,1873
2014-08-31,1873
2014-07-26,1872
2014-07-07,1866
2014-12-21,1865
2014-11-16,1862
2014-01-02,1861
2014-07-19,1860
2014-07-01,1856
2012-08-24,1855
2015-01-25,1847
2014-01-26,1847
2015-08-09,1847
2014-08-17,1836
2015-04-05,1826
2015-08-16,1823
2014-08-02,1817
2014-06-25,1807
2012-08-23,1801
2015-08-22,1798
2014-07-12,1796
2014-12-27,1793
2014-08-10,1792
2014-06-30,1791
2015-09-02,1789
2012-09-09,1785
2014-08-24,1775
2014-08-03,1771
2015-01-18,1747
2015-01-11,1737
2013-12-25,1731
2012-08-27,1730
2014-06-20,1718
2014-06-24,1714
2012-08-22,1713
2014-06-19,1711
2014-06-13,1709
2014-06-12,1699
2014-06-18,1687
2015-09-01,1684
2015-08-31,1684
2014-09-01,1657
2015-09-03,1654
2015-09-09,1629
2015-09-08,1624
2015-01-04,1618
2014-06-28,1615
2014-06-23,1611
2012-08-21,1611
2015-09-10,1605
2014-07-13,1598
2015-09-11,1592
2015-08-23,1590
2014-07-20,1587
2015-08-29,1586
2014-07-27,1567
2015-09-04,1562
2015-02-15,1538
2015-01-03,1532
2014-06-11,1527
2012-08-20,1526
2014-06-21,1506
2012-08-25,1503
2014-06-16,1496
2012-09-01,1495
2014-12-28,1492
2014-07-05,1492
2014-06-17,1469
2014-06-14,1457
2012-08-16,1456
2015-09-16,1455
2015-09-14,1454
2015-08-30,1453
2014-06-10,1453
2014-06-06,1449
2014-07-06,1438
2012-08-26,1430
2014-06-04,1401
2015-09-17,1395
2015-09-15,1387
2014-06-22,1382
2014-06-29,1379
2014-06-09,1378
2015-09-18,1360
2015-09-22,1354
2014-06-05,1348
2015-09-12,1329
2015-09-25,1310
2015-09-21,1297
2012-08-10,1294
2014-06-07,1293
2014-01-05,1283
2015-09-23,1281
2012-09-03,1278
2015-09-13,1272
2015-09-05,1271
2015-09-06,1267
2012-08-15,1265
2015-09-24,1250
2014-11-27,1246
2012-08-13,1238
